regime,method,metric,spend,mean,std,n_seed
s1_abrupt,_oracle,conversions,25pct,27196.61802832691,1027.767166049049,8
s1_abrupt,_noskill,clicks,25pct,16288.585796620026,1025.6444643226444,8
s1_abrupt,_noskill,conversions,25pct,16288.585796620026,1025.6444643226444,8
s1_abrupt,_shuffled_amgtp,clicks,25pct,14157.62863958018,884.8555273177356,8
s1_abrupt,_shuffled_amgtp,conversions,25pct,14157.62863958018,884.8555273177356,8
s2_gradual,expanding,clicks,25pct,15303.908055379812,1065.5465385802966,8
s2_gradual,expanding,conversions,25pct,15303.908055379812,1065.5465385802966,8
s2_gradual,rolling_7,clicks,25pct,16913.77504326414,1093.464584588574,8
s2_gradual,rolling_7,conversions,25pct,16913.77504326414,1093.464584588574,8
s2_gradual,han_arw,clicks,25pct,17174.17171578754,1115.7536849609323,8
s2_gradual,han_arw,conversions,25pct,17174.17171578754,1115.7536849609323,8
s2_gradual,m2_context_gate,clicks,25pct,16396.11797685903,1099.9280447888143,8
s2_gradual,m2_context_gate,conversions,25pct,16396.11797685903,1099.9280447888143,8
s2_gradual,m5b_smooth0.1,clicks,25pct,17121.55488812931,1106.3342767152026,8
s2_gradual,m5b_smooth0.1,conversions,25pct,17121.55488812931,1106.3342767152026,8
s2_gradual,ensemble3,clicks,25pct,17130.934999528756,1108.6113367058313,8
s2_gradual,ensemble3,conversions,25pct,17130.934999528756,1108.6113367058313,8
s2_gradual,amgtp,clicks,25pct,17131.328391589024,1111.9579899048656,8
s2_gradual,amgtp,conversions,25pct,17131.328391589024,1111.9579899048656,8
s2_gradual,_oracle,clicks,25pct,26520.94316415787,1107.7241256288955,8
s2_gradual,_oracle,conversions,25pct,26520.94316415787,1107.7241256288955,8
s2_gradual,_noskill,clicks,25pct,14679.920590564054,1058.7023628605448,8
s2_gradual,_noskill,conversions,25pct,14679.920590564054,1058.7023628605448,8
s2_gradual,_shuffled_amgtp,clicks,25pct,13000.81733212911,894.7106955450388,8
s2_gradual,_shuffled_amgtp,conversions,25pct,13000.81733212911,894.7106955450388,8
s3_recurring,expanding,clicks,25pct,15321.512684281019,1188.3254586942312,8
s3_recurring,expanding,conversions,25pct,15321.512684281019,1188.3254586942312,8
s3_recurring,rolling_7,clicks,25pct,14605.751666061016,1136.4297525488007,8
s3_recurring,rolling_7,conversions,25pct,14605.751666061016,1136.4297525488007,8
s3_recurring,han_arw,clicks,25pct,15190.760255418665,1168.8591821462092,8
s3_recurring,han_arw,conversions,25pct,15190.760255418665,1168.8591821462092,8
s3_recurring,m2_context_gate,clicks,25pct,15361.07755128484,1179.026531992469,8
s3_recurring,m2_context_gate,conversions,25pct,15361.07755128484,1179.026531992469,8
s3_recurring,m5b_smooth0.1,clicks,25pct,15432.737510469113,1162.7139984130006,8
s3_recurring,m5b_smooth0.1,conversions,25pct,15432.737510469113,1162.7139984130006,8
s3_recurring,ensemble3,clicks,25pct,15414.505587127305,1167.3364973722855,8
s3_recurring,ensemble3,conversions,25pct,15414.505587127305,1167.3364973722855,8
s3_recurring,amgtp,clicks,25pct,15423.746588982784,1188.9268325678538,8
s3_recurring,amgtp,conversions,25pct,15423.746588982784,1188.9268325678538,8
s3_recurring,_oracle,clicks,25pct,25993.463883875826,1198.537325937717,8
s3_recurring,_oracle,conversions,25pct,25993.463883875826,1198.537325937717,8
s3_recurring,_noskill,clicks,25pct,14114.204613234928,1145.802763954579,8
s3_recurring,_noskill,conversions,25pct,14114.204613234928,1145.802763954579,8
s3_recurring,_shuffled_amgtp,clicks,25pct,12895.281880786883,995.9517329243872,8
s3_recurring,_shuffled_amgtp,conversions,25pct,12895.281880786883,995.9517329243872,8
s4_local,expanding,clicks,25pct,16288.775070888463,1232.2240506265962,8
s4_local,expanding,conversions,25pct,16288.775070888463,1232.2240506265962,8
s4_local,rolling_7,clicks,25pct,16152.414445598253,1201.9599023762596,8
s4_local,rolling_7,conversions,25pct,16152.414445598253,1201.9599023762596,8
s4_local,han_arw,clicks,25pct,16334.061402729903,1188.6883622833654,8
s4_local,han_arw,conversions,25pct,16334.061402729903,1188.6883622833654,8
s4_local,m2_context_gate,clicks,25pct,16501.78789338209,1237.122259126043,8
s4_local,m2_context_gate,conversions,25pct,16501.78789338209,1237.122259126043,8
s4_local,m5b_smooth0.1,clicks,25pct,16615.1735894833,1210.755858331088,8
s4_local,m5b_smooth0.1,conversions,25pct,16615.1735894833,1210.755858331088,8
s4_local,ensemble3,clicks,25pct,16694.735323897665,1211.66743384389,8
s4_local,ensemble3,conversions,25pct,16694.735323897665,1211.66743384389,8
s4_local,amgtp,clicks,25pct,16676.022587788884,1213.6363647686107,8
s4_local,amgtp,conversions,25pct,16676.022587788884,1213.6363647686107,8
s4_local,_oracle,clicks,25pct,26842.87277649343,1242.5161841524398,8
s4_local,_oracle,conversions,25pct,26842.87277649343,1242.5161841524398,8
s4_local,_noskill,clicks,25pct,15893.142423052359,1224.806295098846,8
s4_local,_noskill,conversions,25pct,15893.142423052359,1224.806295098846,8
s4_local,_shuffled_amgtp,clicks,25pct,14519.023657925442,1089.1171774084805,8
s4_local,_shuffled_amgtp,conversions,25pct,14519.023657925442,1089.1171774084805,8
s5_opposing_local,expanding,clicks,25pct,16004.965594791684,952.7440138762688,8
s5_opposing_local,expanding,conversions,25pct,16004.965594791684,952.7440138762688,8
s5_opposing_local,rolling_7,clicks,25pct,16862.230160851508,1015.3283048104329,8
s5_opposing_local,rolling_7,conversions,25pct,16862.230160851508,1015.3283048104329,8
s5_opposing_local,han_arw,clicks,25pct,16999.654366744475,1005.0263069820663,8
s5_opposing_local,han_arw,conversions,25pct,16999.654366744475,1005.0263069820663,8
s5_opposing_local,m2_context_gate,clicks,25pct,16690.814111315012,996.092640299325,8
s5_opposing_local,m2_context_gate,conversions,25pct,16690.814111315012,996.092640299325,8
s5_opposing_local,m5b_smooth0.1,clicks,25pct,16971.359261935206,1028.7019584418608,8
s5_opposing_local,m5b_smooth0.1,conversions,25pct,16971.359261935206,1028.7019584418608,8
s5_opposing_local,ensemble3,clicks,25pct,17017.267259608925,1024.684488818799,8
s5_opposing_local,ensemble3,conversions,25pct,17017.267259608925,1024.684488818799,8
s5_opposing_local,amgtp,clicks,25pct,17020.1159878373,1026.552292057049,8
s5_opposing_local,amgtp,conversions,25pct,17020.1159878373,1026.552292057049,8
s5_opposing_local,_oracle,clicks,25pct,27683.493525117752,1064.5714307859496,8
s5_opposing_local,_oracle,conversions,25pct,27683.493525117752,1064.5714307859496,8
s5_opposing_local,_noskill,clicks,25pct,16565.247572957276,1030.9968907892196,8
s5_opposing_local,_noskill,conversions,25pct,16565.247572957276,1030.9968907892196,8
s5_opposing_local,_shuffled_amgtp,clicks,25pct,15094.45864656167,943.0728717529383,8
s5_opposing_local,_shuffled_amgtp,conversions,25pct,15094.45864656167,943.0728717529383,8
s6_mixed,expanding,clicks,25pct,16515.690167793946,1888.0554571434802,8
s6_mixed,expanding,conversions,25pct,16515.690167793946,1888.0554571434802,8
s6_mixed,rolling_7,clicks,25pct,17804.401168220604,1336.7539706931786,8
s6_mixed,rolling_7,conversions,25pct,17804.401168220604,1336.7539706931786,8
s6_mixed,han_arw,clicks,25pct,17908.886920245946,1407.2116000886099,8
s6_mixed,han_arw,conversions,25pct,17908.886920245946,1407.2116000886099,8
s6_mixed,m2_context_gate,clicks,25pct,17445.125684115497,1352.5571703389246,8
s6_mixed,m2_context_gate,conversions,25pct,17445.125684115497,1352.5571703389246,8
s6_mixed,m5b_smooth0.1,clicks,25pct,17658.628816978297,1460.9489814417161,8
s6_mixed,m5b_smooth0.1,conversions,25pct,17658.628816978297,1460.9489814417161,8
s6_mixed,ensemble3,clicks,25pct,17766.980876138998,1434.7564452976578,8
s6_mixed,ensemble3,conversions,25pct,17766.980876138998,1434.7564452976578,8
s6_mixed,amgtp,clicks,25pct,17726.393289895175,1458.0835620788846,8
s6_mixed,amgtp,conversions,25pct,17726.393289895175,1458.0835620788846,8
s6_mixed,_oracle,clicks,25pct,27138.69720849578,1274.0059439048152,8
s6_mixed,_oracle,conversions,25pct,27138.69720849578,1274.0059439048152,8
s6_mixed,_noskill,clicks,25pct,15995.805382168288,1135.4369224767709,8
s6_mixed,_noskill,conversions,25pct,15995.805382168288,1135.4369224767709,8
s6_mixed,_shuffled_amgtp,clicks,25pct,13972.598038600754,1070.7316159801867,8
s6_mixed,_shuffled_amgtp,conversions,25pct,13972.598038600754,1070.7316159801867,8
criteo,expanding,clicks,25pct,1028513.9671924583,76.07540537231414,5
criteo,expanding,conversions,25pct,100358.62669091723,17.791463214656424,5
criteo,rolling_7,clicks,25pct,1028514.8303659536,93.97618192677258,5
criteo,rolling_7,conversions,25pct,100722.2653397366,68.11368935526878,5
criteo,han_arw,clicks,25pct,1028527.7686680338,78.71978227492289,5
criteo,han_arw,conversions,25pct,100715.96339765545,72.99397698324476,5
criteo,m2_context_gate,clicks,25pct,1028606.1076386853,55.38141867941904,5
criteo,m2_context_gate,conversions,25pct,100607.11094687716,31.89897128096078,5
criteo,m5b_smooth0.1,clicks,25pct,1028633.0934681852,93.65847908389411,5
criteo,m5b_smooth0.1,conversions,25pct,100727.64175709306,125.02671290541934,5
criteo,ensemble3,clicks,25pct,1028659.0022680328,59.65227580248452,5
criteo,ensemble3,conversions,25pct,100677.04852592453,52.196276660647015,5
criteo,amgtp,clicks,25pct,1028671.7831449002,63.01056502417273,5
criteo,amgtp,conversions,25pct,100688.16844701795,31.04733338669947,5
criteo,_oracle,clicks,25pct,1288934.8815411497,0.0,5
criteo,_oracle,conversions,25pct,146893.29511402908,0.0,5
criteo,_noskill,clicks,25pct,1023685.6563740534,0.0,5
criteo,_noskill,conversions,25pct,99173.11384171133,0.0,5
criteo,_shuffled_amgtp,clicks,25pct,1002632.4616377844,239.8567023994637,5
criteo,_shuffled_amgtp,conversions,25pct,97346.01118943782,114.53122435128253,5
